Service,Port,Protocol,Description
unknown,0,tcp,Reserved
unknown,0,udp,Reserved
tcpmux,1,tcp,TCP Port Service Multiplexer
tcpmux,1,udp,TCP Port Service Multiplexer
compressnet,2,tcp,Management Utility
compressnet,2,udp,Management Utility
compressnet,3,tcp,Compression Process
compressnet,3,udp,Compression Process
unknown,4,tcp,Unassigned
unknown,4,udp,Unassigned
rje,5,tcp,Remote Job Entry
rje,5,udp,Remote Job Entry
unknown,6,tcp,Unassigned
unknown,6,udp,Unassigned
echo,7,tcp,Echo
echo,7,udp,Echo
unknown,8,tcp,Unassigned
unknown,8,udp,Unassigned
discard,9,tcp,Discard
discard,9,udp,Discard
discard,9,sctp,Discard
discard,9,dccp,Discard
unknown,10,tcp,Unassigned
unknown,10,udp,Unassigned
systat,11,tcp,Active Users
systat,11,udp,Active Users
unknown,12,tcp,Unassigned
unknown,12,udp,Unassigned
daytime,13,tcp,Daytime
daytime,13,udp,Daytime
unknown,14,tcp,Unassigned
unknown,14,udp,Unassigned
unknown,15,tcp,Unassigned [was netstat]
unknown,15,udp,Unassigned
unknown,16,tcp,Unassigned
unknown,16,udp,Unassigned
qotd,17,tcp,Quote of the Day
qotd,17,udp,Quote of the Day
msp,18,tcp,Message Send Protocol (historic)
msp,18,udp,Message Send Protocol (historic)
chargen,19,tcp,Character Generator
chargen,19,udp,Character Generator
ftp-data,20,tcp,File Transfer [Default Data]
ftp-data,20,udp,File Transfer [Default Data]
ftp-data,20,sctp,FTP
ftp,21,tcp,File Transfer Protocol [Control]
ftp,21,udp,File Transfer Protocol [Control]
ftp,21,sctp,FTP
ssh,22,tcp,The Secure Shell (SSH) Protocol
ssh,22,udp,The Secure Shell (SSH) Protocol
ssh,22,sctp,SSH
telnet,23,tcp,Telnet
telnet,23,udp,Telnet
unknown,24,tcp,any private mail system
unknown,24,udp,any private mail system
smtp,25,tcp,Simple Mail Transfer
smtp,25,udp,Simple Mail Transfer
unknown,26,tcp,Unassigned
unknown,26,udp,Unassigned
nsw-fe,27,tcp,NSW User System FE
nsw-fe,27,udp,NSW User System FE
unknown,28,tcp,Unassigned
unknown,28,udp,Unassigned
msg-icp,29,tcp,MSG ICP
msg-icp,29,udp,MSG ICP
unknown,30,tcp,Unassigned
unknown,30,udp,Unassigned
msg-auth,31,tcp,MSG Authentication
msg-auth,31,udp,MSG Authentication
unknown,32,tcp,Unassigned
unknown,32,udp,Unassigned
dsp,33,tcp,Display Support Protocol
dsp,33,udp,Display Support Protocol
unknown,34,tcp,Unassigned
unknown,34,udp,Unassigned
unknown,35,tcp,any private printer server
unknown,35,udp,any private printer server
unknown,36,tcp,Unassigned
unknown,36,udp,Unassigned
time,37,tcp,Time
time,37,udp,Time
rap,38,tcp,Route Access Protocol
rap,38,udp,Route Access Protocol
rlp,39,tcp,Resource Location Protocol
rlp,39,udp,Resource Location Protocol
unknown,40,tcp,Unassigned
unknown,40,udp,Unassigned
graphics,41,tcp,Graphics
graphics,41,udp,Graphics
name,42,tcp,Host Name Server
name,42,udp,Host Name Server
nameserver,42,tcp,Host Name Server
nameserver,42,udp,Host Name Server
nicname,43,tcp,Who Is
nicname,43,udp,Who Is
mpm-flags,44,tcp,MPM FLAGS Protocol
mpm-flags,44,udp,MPM FLAGS Protocol
mpm,45,tcp,Message Processing Module [recv]
mpm,45,udp,Message Processing Module [recv]
mpm-snd,46,tcp,MPM [default send]
